Date,Category,Amount
3/1/2026,Food,250
3/1/2026,Snacks,80
3/2/2026,Transport,50
3/2/2026,Food,300
3/3/2026,Groceries,500
3/3/2026,Snacks,60
3/4/2026,Food,280
3/4/2026,Entertainment,200
3/5/2026,Food,350
3/5/2026,Transport,70
3/6/2026,Shopping,800
3/6/2026,Food,400
3/7/2026,Snacks,100
3/7/2026,Food,450
3/8/2026,Transport,60
3/8/2026,Food,320
3/9/2026,Groceries,600
3/9/2026,Snacks,90
3/10/2026,Food,500
3/10/2026,Entertainment,300
3/11/2026,Food,270
3/11/2026,Snacks,70
3/12/2026,Transport,60
3/12/2026,Food,310
3/13/2026,Groceries,550
3/13/2026,Snacks,85
3/14/2026,Food,290
3/14/2026,Entertainment,250
3/15/2026,Food,380
3/15/2026,Transport,80
3/16/2026,Shopping,900
3/16/2026,Food,420
3/17/2026,Snacks,110
3/17/2026,Food,470
3/18/2026,Transport,65
3/18/2026,Food,330
3/19/2026,Groceries,620
3/19/2026,Snacks,95
3/20/2026,Food,520
3/20/2026,Entertainment,350
3/21/2026,Food,300
3/21/2026,Snacks,75
3/22/2026,Transport,55
3/22/2026,Food,340
3/23/2026,Groceries,580
3/23/2026,Snacks,88
3/24/2026,Food,310
3/24/2026,Entertainment,220
3/25/2026,Food,360
3/25/2026,Transport,75
3/26/2026,Shopping,850
3/26/2026,Food,410
3/27/2026,Snacks,120
3/27/2026,Food,480
3/28/2026,Transport,70
3/28/2026,Food,350
3/29/2026,Groceries,650
3/29/2026,Snacks,100
3/30/2026,Food,550
3/30/2026,Entertainment,400
